framework,suite,test,time_ms
"@amadeus-it-group/tansu","s","createComputations4to1","12.7405"
"@amadeus-it-group/tansu","s","createComputations1000to1","10.8472"
"@amadeus-it-group/tansu","s","createComputations1to2","23.8569"
"@amadeus-it-group/tansu","s","createComputations1to4","20.3228"
"@amadeus-it-group/tansu","s","createComputations1to8","18.6746"
"@amadeus-it-group/tansu","s","createComputations1to1000","17.3001"
"@amadeus-it-group/tansu","s","updateComputations1to1","28.997"
"@amadeus-it-group/tansu","s","updateComputations2to1","18.0389"
"@amadeus-it-group/tansu","s","updateComputations4to1","11.4788"
"@amadeus-it-group/tansu","s","updateComputations1000to1","6.3044"
"@amadeus-it-group/tansu","s","updateComputations1to2","25.2424"
"@amadeus-it-group/tansu","s","updateComputations1to4","24.2213"
"@amadeus-it-group/tansu","s","updateComputations1to1000","24.0525"
"@amadeus-it-group/tansu","dynamic","10x5 - 2 sources - read 20% (simple component)","316.7594"
"@amadeus-it-group/tansu","dynamic","10x10 - 6 sources - dynamic - read 20% (dynamic component)","235.9572"
"@amadeus-it-group/tansu","dynamic","1000x12 - 4 sources - dynamic (large web app)","432.8725"
"@amadeus-it-group/tansu","dynamic","1000x5 - 25 sources (wide dense)","519.1149"
"@amadeus-it-group/tansu","dynamic","5x500 - 3 sources (deep)","190.2823"
"@amadeus-it-group/tansu","cellx","cellx10","0.0653"
"@amadeus-it-group/tansu","cellx","cellx20","0.0543"
"@amadeus-it-group/tansu","cellx","cellx30","0.0605"
"@tldraw/state","kairo","avoidablePropagation","272.062"
"@tldraw/state","kairo","broadPropagation","787.5525"
"@tldraw/state","kairo","deepPropagation","226.6755"
"@tldraw/state","kairo","diamond","355.635"
"@tldraw/state","kairo","mux","502.118"
"@tldraw/state","kairo","repeatedObservers","45.4697"
"@tldraw/state","kairo","triangle","156.09"
"@tldraw/state","kairo","unstable","74.2102"
"@tldraw/state","mol","molBench","352.734"
"@tldraw/state","s","createDataSignals","6.0758"
"@tldraw/state","s","createComputations0to1","5.6735"
"@tldraw/state","s","createComputations1to1","14.8107"
"@tldraw/state","s","createComputations2to1","15.6865"
"@tldraw/state","s","createComputations4to1","7.94"
"@tldraw/state","s","createComputations1000to1","10.796"
"@tldraw/state","s","createComputations1to2","12.7877"
"@tldraw/state","s","createComputations1to4","12.1604"
"@tldraw/state","s","createComputations1to8","11.436"
"@tldraw/state","s","createComputations1to1000","10.4584"
"@tldraw/state","s","updateComputations1to1","49.9672"
"@tldraw/state","s","updateComputations2to1","32.3835"
